reference,fonction_publique,procedure_type,famille_procedure_deduite,typologie_marche_verifiee,seuil_formalise_applicable,plateforme_source,duree,renouvellements,localisation,cpv_principal,cpv_secondaires,ccag_type,verification_requise,raisons_verification,notes_verification,qualite_preuve_procedure,conflit_detecte,type_conflit,categorie_regime,preuve_regime,preuve_typologie,preuve_joue_detectee,source_preuve_joue,justification_juridique_courte,code_couleur_procedure,niveau_procedure_deduit,url_provenance,audit_verdict,audit_contamination_effective,audit_risque,audit_zones_annexes,audit_notes,source_procedure_evidence,seuil_applicable_ht,montant_estime_ht_parsed,ratio_montant_sur_seuil,priorite_juridique,niveau_confiance,procedure_verdict,verdict_final,notes_consolidation
MO-9592936,inconnue,MAPA,MAPA_SOUS_SEUIL,fournitures,,MARCHES_ONLINE,48.0,4 reconduction(s),38 - GRENOBLE,72222300,72222300|72500000|15326779|00590169|00650699,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; titre contient 'fourniture',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Extraction via #print_area_* - isolation correcte,Badge/champ explicite: MAPA,216000,,,source_explicite,fort,Procédure source MAPA cohérente avec le montant et le seuil applicable,MAPA_SOUS_SEUIL - procédure source mapa cohérente avec le montant et le seuil applicable,
MO-9595379,territoriale,MAPA,MAPA_SOUS_SEUIL,services,216000,MARCHES_ONLINE,48.0,,75 - VILLE DE PARIS,72250000,72250000|15329441|00590169|00650699,,True,ccag_type_manquant,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,titre contient 'service',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Extraction isolée au conteneur principal,Badge/champ explicite: MAPA,216000,,,source_explicite,fort,Procédure source MAPA cohérente avec le montant et le seuil applicable,MAPA_SOUS_SEUIL - procédure source mapa cohérente avec le montant et le seuil applicable,
MO-9595420,etat,MAPA,MAPA_SOUS_SEUIL,services,140000,MARCHES_ONLINE,,,92 - AGENCE DE L'EAU SEINE NORMANDIE,72250000,72250000|72514000|15329482|00590169|00650699,,True,ccag_type_manquant,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,titre contient 'service',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Sélecteurs ciblent #print_area_*,Badge/champ explicite: MAPA,216000,25000000,115.74,seuil,moyen,La procédure source MAPA a été lue mais rejetée comme qualification finale car montant supérieur au seuil applicable,FORMALISEE_REQUISE - la procédure source mapa a été lue mais rejetée comme qualification finale car montant supérieur au seuil applicable,Badge « Procédure adaptée » probablement issu d'une erreur de saisie ou de mapping automatique
MO-9596025,hospitaliere,MAPA,MAPA_SOUS_SEUIL,services,216000,MARCHES_ONLINE,48.0,,69 - LYON,72200000,72200000|72261000|72262000|15331741|00590169|00650699,prestations_intellectuelles,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'service',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Extraction correctement scoppée,Badge/champ explicite: MAPA,216000,900000,4.17,seuil,moyen,La procédure source MAPA a été lue mais rejetée comme qualification finale car montant supérieur au seuil applicable,FORMALISEE_REQUISE - la procédure source mapa a été lue mais rejetée comme qualification finale car montant supérieur au seuil applicable,Badge « Procédure adaptée » probablement issu d'une erreur de saisie ou de mapping automatique
MO-9596601,territoriale,MAPA,MAPA_SOUS_SEUIL,fournitures,216000,MARCHES_ONLINE,,"L'acheteur se réserve le droit d'effectuer des achats supplémentaires auprès du contractant, comme décrit ici : L'accord",16 - ANGOULEME,72500000,72500000|72315200|72700000|15330787|00590169|00650699,tic,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'fourniture'; titre contient 'service',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Isolation au conteneur principal,Badge/champ explicite: MAPA,216000,,,source_explicite,fort,Procédure source MAPA cohérente avec le montant et le seuil applicable,MAPA_SOUS_SEUIL - procédure source mapa cohérente avec le montant et le seuil applicable,
MO-9596814,etat,MAPA,MAPA_SOUS_SEUIL,fournitures,140000,MARCHES_ONLINE,12.0,,91 - SYNCHROTRON SOLEIL,72600000,72600000|48100000|15330912|00590169|00650699,prestations_intellectuelles,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'logiciel'; titre contient 'prestation',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Sélecteurs DOM spécifiques,Badge/champ explicite: MAPA,216000,,,source_explicite,fort,Procédure source MAPA cohérente avec le montant et le seuil applicable,MAPA_SOUS_SEUIL - procédure source mapa cohérente avec le montant et le seuil applicable,
MO-9596821,inconnue,MAPA,MAPA_SOUS_SEUIL,services,,MARCHES_ONLINE,48.0,,94 - SICIO,72250000,72250000|15330919|00590169|00650699,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='fournitures'; titre contient 'serveur'; titre contient 'prestation',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Extraction via IDs spécifiques,Badge/champ explicite: MAPA,216000,800000,3.7,seuil,moyen,La procédure source MAPA a été lue mais rejetée comme qualification finale car montant supérieur au seuil applicable,FORMALISEE_REQUISE - la procédure source mapa a été lue mais rejetée comme qualification finale car montant supérieur au seuil applicable,Badge « Procédure adaptée » probablement issu d'une erreur de saisie ou de mapping automatique
MO-9597280,territoriale,MAPA,MAPA_SOUS_SEUIL,fournitures,216000,MARCHES_ONLINE,48.0,,56 - CC CENTRE MORBIHAN,72222300,72222300|48000000|72250000|15331955|00590169|00650699,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; titre contient 'fourniture',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Isolation structurelle correcte,Badge/champ explicite: MAPA,216000,450000,2.08,seuil,moyen,La procédure source MAPA a été lue mais rejetée comme qualification finale car montant supérieur au seuil applicable,FORMALISEE_REQUISE - la procédure source mapa a été lue mais rejetée comme qualification finale car montant supérieur au seuil applicable,Badge « Procédure adaptée » probablement issu d'une erreur de saisie ou de mapping automatique
MO-9597894,territoriale,MAPA,MAPA_SOUS_SEUIL,fournitures,216000,MARCHES_ONLINE,60.0,,31 - MURET,48800000,48800000|48822000|51611100|58005186|15332032|00590169|00650699,fournitures_courantes_services,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG fournitures; titre contient 'serveur',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Conteneur principal identifié et utilisé,Badge/champ explicite: MAPA,216000,,,source_explicite,fort,Procédure source MAPA cohérente avec le montant et le seuil applicable,MAPA_SOUS_SEUIL - procédure source mapa cohérente avec le montant et le seuil applicable,
MO-9598475,hors_fonction_publique,MAPA,MAPA_SOUS_SEUIL,services,,MARCHES_ONLINE,96.0,3 reconduction(s),69 - LYON,72600000,72600000|72263000|48820000|15332602|00590169|00650699,prestations_intellectuelles,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services' (pas d'indice titre),non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Sélecteurs ciblant #print_area_*,Badge/champ explicite: MAPA,216000,5000000,23.15,seuil,moyen,La procédure source MAPA a été lue mais rejetée comme qualification finale car montant supérieur au seuil applicable,FORMALISEE_REQUISE - la procédure source mapa a été lue mais rejetée comme qualification finale car montant supérieur au seuil applicable,Badge « Procédure adaptée » probablement issu d'une erreur de saisie ou de mapping automatique
MO-9599071,territoriale,MAPA,MAPA_SOUS_SEUIL,services,216000,MARCHES_ONLINE,24.0,Description : Le guichet de maintenance « IRIS » est au centre de la mission confiée au titulaire. L'objectif du lot 1 e,67 - REGION GRAND EST,72253000,72253000|63120000|72250000|72600000|15333089|00590169|00650699,tic,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'service',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Extraction isolée correctement,Badge/champ explicite: MAPA,216000,6500000,30.09,seuil,moyen,La procédure source MAPA a été lue mais rejetée comme qualification finale car montant supérieur au seuil applicable,FORMALISEE_REQUISE - la procédure source mapa a été lue mais rejetée comme qualification finale car montant supérieur au seuil applicable,Badge « Procédure adaptée » probablement issu d'une erreur de saisie ou de mapping automatique
MO-9599869,hospitaliere,MAPA,MAPA_SOUS_SEUIL,fournitures,216000,MARCHES_ONLINE,,,58 - NEVERS,72500000,72500000|15333941|00590169|00650699,fournitures_courantes_services,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='fournitures'; CCAG fournitures; titre contient 'serveur'; titre contient 'maintenance',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Isolation au conteneur principal,Badge/champ explicite: MAPA,216000,,,source_explicite,fort,Procédure source MAPA cohérente avec le montant et le seuil applicable,MAPA_SOUS_SEUIL - procédure source mapa cohérente avec le montant et le seuil applicable,
RFI_CRM_2026-02,etat,inconnu,INDETERMINE,indetermine,,PLACE_NUMERIC,,,"(75) Paris, (92) Hauts-de-Seine, (31) Haute-Garonne",72212445,72212445|47841249,,True,ccag_type_manquant,,ABSENTE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,Aucun indice typologique clair,non,,Aucune preuve de procédure détectée.,INDETERMINE,INDETERMINE,fallback_place,PROPRE,non,faible,,Structure propre,Champ procedure_type vide ou non renseigné,216000,,,indetermine,faible,"Procédure source inconnue, aucune preuve de formalisation","INDETERMINE - procédure source inconnue, aucune preuve de formalisation",
Shom_26AC07,etat,inconnu,INDETERMINE,services,140000,PLACE_NUMERIC,,,(29) Finistère,72267000,72267000|72200000|98548097,tic,False,,,ABSENTE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services' (pas d'indice titre),non,,Aucune preuve de procédure détectée.,INDETERMINE,INDETERMINE,fallback_place,PROPRE,non,faible,,Structure PLACE sans zones annexes,Champ procedure_type vide ou non renseigné,216000,,,indetermine,faible,"Procédure source inconnue, aucune preuve de formalisation","INDETERMINE - procédure source inconnue, aucune preuve de formalisation",
